No.;Time;Comment;Scramble;Date;P.1
132;13.89;;F2 D' L2 D2 R2 D' L2 B2 D' U2 B2 L B' D F D R' F' L' U;2020-03-22 14:19:22;13.89
133;14.09;;U' L' B' U2 L2 F2 R' F U' L2 D2 R2 F R2 F2 U2 F' L2 U2 L2;2020-03-22 14:19:56;14.09
134;14.14;;R' D2 R2 U2 F2 U2 F2 L F2 L F2 B L2 B2 D2 R D F U L' F';2020-03-22 14:20:22;14.14
135;13.29;;L B2 L2 D L2 F2 L2 U' L2 D' U' B2 U' L F L2 R B' D2 R' D2;2020-03-22 14:21:35;13.29
136;13.29;;F2 D' U2 F2 R2 D2 B2 R2 D2 U' L' U L2 D U' B' R D' B' D2;2020-03-22 14:22:10;13.29
137;12.30;;F' L2 F R2 F U2 B2 L2 D2 U2 F' L R' B L' D L' R;2020-03-22 14:22:33;12.30
138;11.48;;U2 R' B' D2 R2 F2 R2 L B U' F2 U F2 U2 L2 D' L2 D2 F2 B2;2020-03-22 14:23:00;11.48
139;13.37;;F U R2 F2 L2 F2 D' R2 F2 U' F2 U2 L2 R' B' F2 R U L R2;2020-03-22 14:23:26;13.37
140;11.62;;F U R' L' B U' R2 L D R2 B D2 L2 D2 F2 D2 F' L2 U2 F' U2;2020-03-22 14:23:54;11.62
141;14.15;;U2 F L2 F R2 B2 L2 U2 F U2 F' L2 U L' U2 F D' L' B' R' B;2020-03-22 14:24:27;14.15
142;15.88;;D B' R2 F' L2 D2 F' U2 F' D2 F R' U F' U2 B2 D2 L F;2020-03-22 14:24:55;15.88
143;13.57;;R B L' B2 D F' R2 L' D' B' D2 R2 L2 B' D2 L2 B' D2 L2 F' L2;2020-03-22 14:25:22;13.57
144;12.40;;U2 L2 B2 F2 D' F2 D' B2 R2 U' R' B' U' L D2 U2 B2 D B' F';2020-03-22 14:25:47;12.40
145;20.61;;B2 U' R2 D2 F2 D2 U' F2 L2 B2 F2 U2 B' L B' D2 U2 L D2 L2 D';2020-03-22 14:26:12;20.61
146;18.47;;L' U' F U2 F D2 F' U2 L2 R2 B2 R2 U2 L B' R' D F' U R2;2020-03-22 14:26:45;18.47
147;16.26;;D F L2 D2 R L' U2 F' B2 L2 D R2 U' B2 D' L2 B2 U2 B2 U' B;2020-03-22 14:27:16;16.26
148;10.98;;B D' F' R' L B2 U' L2 B2 U2 B' U2 L2 F' L2 F D2 B R2 L;2020-03-22 14:27:49;10.98
149;14.12;;L2 U' F2 R2 U2 R2 U L2 D L F' D L2 B2 R B' L U L R;2020-03-22 14:28:12;14.12
150;14.96;;B2 U R2 D' B2 D2 F2 U2 R2 U2 L2 F R2 B D U' L' U R2 D L';2020-03-22 14:28:45;14.96
151;17.15;;F2 R D R2 U L2 D2 F2 U F2 R2 U2 L2 U F' R F' U2 L' R U';2020-03-22 14:29:11;17.15
152;13.27;;L2 D2 F2 U2 B2 L2 B2 R2 U2 L2 U F' D' L U2 F D2 L D' F2;2020-03-22 14:29:45;13.27
153;10.02;;B' U' L D2 B' U2 B R' D R D2 R L2 U2 B2 L' B2 L;2020-03-22 14:30:12;10.02
154;12.41;;F' D B2 D L2 D' R2 D2 L2 U' L2 B2 R2 F' R U L' B2 D' B' F';2020-03-22 14:30:34;12.41
155;13.90;;D L2 F2 D F2 U B2 R2 U' R2 D2 L' U2 R' U' L2 F' R B D' F;2020-03-22 14:30:59;13.90
156;11.52;;L2 U2 R2 B' D L' D' R2 F D2 R B2 L' D2 L F2 L D2 B2 D2;2020-03-22 14:31:26;11.52
157;12.12;;R' L2 U' R' B2 D' R B' L2 U2 F2 B2 R D2 F2 R B2 L' F2 L2 F';2020-03-22 14:31:50;12.12
158;13.59;;F2 R2 D B2 D B2 U2 R2 D' F2 U' B' U2 F D U' L U' L F' U2;2020-03-22 14:32:15;13.59
159;10.52;;U2 L D2 L2 B2 R B2 L F2 R' F2 B L2 B U' B2 U' R U2;2020-03-22 14:32:40;10.52
160;13.41;;L2 U2 L U2 B2 D2 B2 R B2 R U' B' U' F D L D' U F D';2020-03-22 14:33:28;13.41
161;14.36;;L U2 R B' L F R F2 R U2 D2 F2 R2 L2 D R2 D F2 L2 B2 U';2020-03-22 14:35:28;14.36
162;12.67;;B2 U' B2 L' U2 F R2 B L U2 B2 U R2 D F2 L2 U B2 U2 B2;2020-03-22 14:35:52;12.67
163;13.01;;U F2 D L2 U F2 D U2 B2 U' B2 L' B F L2 B L' D L2 R U2;2020-03-22 14:36:16;13.01
164;13.08;;U2 B' U2 F2 R2 F U2 F2 L2 F2 L2 R F2 U B' R' U L U L' D;2020-03-22 14:36:41;13.08
165;11.56;;B U2 B2 U2 F2 U2 L U2 L B2 L' D2 F' U R' U2 B' F2 D R;2020-03-22 14:37:08;11.56
